Supplementary Table 9: KEGG Orthology of metagenomes in ZH11 and the nrt1.1b mutant.																
Supplementary Table 9a: KEGG Orthology in the nitrogen cycle of metagenome.																
KO	ZH11Rep1	ZH11Rep2	ZH11Rep3	nrt1.1bRep1	nrt1.1bRep2	nrt1.1bRep3	Description	ZH11: mean rel. freq. (%)	ZH11: std. dev. (%)	nrt1.1b: mean rel. freq. (%)	nrt1.1b: std. dev. (%)	p-values	p-values (corrected)	Difference between means	95.0% lower CI	95.0% upper CI
K00368	5.41E-05	2.55E-05	1.29E-05	1.18E-05	7.27E-06	9.97E-06	nirK; nitrite reductase (NO-forming) [EC:1.7.2.1]	0.648120921	0.385513095	0.2226583	0.040758246	0.258172501	0.118700001	0.425462621	-0.729602698	1.58052794
K02586	6.53E-06	5.88E-06	1.35E-05	6.04E-06	3.33E-06	4.37E-06	nifD; nitrogenase molybdenum-iron protein alpha chain [EC:1.18.6.1]	0.177873562	0.069391989	0.105291007	0.024616515	0.274444366	0.121931267	0.072582555	-0.113765262	0.258930373
K20933	5.80E-07	6.45E-07	1.50E-06	4.43E-07	3.09E-07	5.61E-07	K20933; hydrazine synthase subunit [EC:1.7.2.7]	0.018654934	0.008411409	0.01007533	0.002344104	0.283490195	0.121931267	0.008579604	-0.014856132	0.03201534
K02305	1.04E-05	4.80E-06	4.95E-06	3.93E-06	2.51E-06	4.18E-06	norC; nitric oxide reductase subunit C	0.140685963	0.060251164	0.081456379	0.016480414	0.297085393	0.12378558	0.059229585	-0.10906899	0.22752816
K00362	0.00025191	0.000295401	0.000473834	0.000423955	0.000385236	0.000336383	nirB; nitrite reductase (NADH) large subunit [EC:1.7.1.15]	6.997368893	1.883073203	8.795638426	0.78010131	0.310484106	0.125448124	-1.798269533	-6.726874107	3.13033504
K10534	3.79E-06	7.57E-07	0	0	0	0	NR; nitrate reductase (NAD(P)H) [EC:1.7.1.1 1.7.1.2 1.7.1.3]	0.032448867	0.035781377	0	0	0.328230606	0.128717885	0.032448867	-0.076413643	0.141311378
K00360	2.62E-05	2.43E-05	2.81E-06	5.70E-06	8.87E-06	1.01E-05	nasB; assimilatory nitrate reductase electron transfer subunit [EC:1.7.99.-]	0.369720829	0.223732363	0.189827712	0.043860809	0.373446288	0.137421691	0.179893117	-0.468463	0.828249234
K00531	0	1.60E-08	2.13E-08	0	3.37E-08	5.13E-08	anfG; nitrogenase delta subunit [EC:1.18.6.1]	0.000248573	0.000181381	0.000656425	0.000489954	0.363162244	0.137421691	-0.000407852	-0.00171436	0.000898656
K00926	4.16E-05	3.82E-05	0.000134301	4.32E-05	2.98E-05	3.73E-05	arcC; carbamate kinase [EC:2.7.2.2]	1.4659562	0.899445066	0.846048195	0.118135672	0.432878327	0.137421691	0.619908005	-2.053761564	3.293577573
K01672	0	0	1.71E-08	0	0	0	CA; carbonic anhydrase [EC:4.2.1.1]	0.00011541	0.000163215	0	0	0.422649731	0.137421691	0.00011541	-0.00038116	0.00061198
K02588	4.89E-06	5.00E-06	1.16E-05	5.50E-06	3.02E-06	4.27E-06	nifH; nitrogenase iron protein NifH	0.147273447	0.062978203	0.098017937	0.022350884	0.387534696	0.137421691	0.04925551	-0.11985652	0.21836754
K10535	5.24E-07	3.50E-07	1.53E-06	3.92E-07	1.79E-07	5.90E-07	hao; hydroxylamine dehydrogenase [EC:1.7.2.6]	0.016498733	0.010523602	0.008901531	0.003854369	0.420211448	0.137421691	0.007597203	-0.020514777	0.035709183
K15876	2.06E-06	1.88E-06	6.16E-06	2.37E-06	1.31E-06	1.71E-06	nrfH; cytochrome c nitrite reductase small subunit	0.069186137	0.03990341	0.041304339	0.009636627	0.428949028	0.137421691	0.027881797	-0.08533947	0.141103065
K17877	0	0	4.30E-08	0	0	0	NIT-6; nitrite reductase (NAD(P)H) [EC:1.7.1.4]	0.00029192	0.000412837	0	0	0.422649731	0.137421691	0.00029192	-0.00096411	0.001547949
K01501	0.000235756	0.000205155	0.00024144	0.000200364	0.000193424	0.000180911	E3.5.5.1; nitrilase [EC:3.5.5.1]	4.704833076	0.451028954	4.413834571	0.17060483	0.465779579	0.144427776	0.290998504	-0.907414991	1.489412
K00371	4.24E-05	3.31E-05	1.36E-05	1.81E-05	1.18E-05	3.02E-05	narH, narY, nxrB; nitrate reductase / nitrite oxidoreductase, beta subunit [EC:1.7.5.1 1.7.99.-]	0.618537984	0.26427416	0.461228236	0.175701194	0.527314244	0.159792195	0.157309748	-0.504299635	0.818919131
K10945	5.40E-07	3.28E-07	4.34E-06	4.58E-07	4.09E-07	1.27E-06	pmoB-amoB; methane/ammonia monooxygenase subunit B	0.035545407	0.037427607	0.016419167	0.00911794	0.548498706	0.162518135	0.01912624	-0.086961758	0.125214238
K00374	3.41E-05	2.57E-05	1.01E-05	1.56E-05	9.97E-06	2.44E-05	narI, narV; nitrate reductase gamma subunit [EC:1.7.5.1 1.7.99.-]	0.485670125	0.219047351	0.38344046	0.136467546	0.61065858	0.177002487	0.102229666	-0.445731252	0.650190584
K00370	6.77E-05	4.99E-05	2.30E-05	2.83E-05	1.91E-05	5.56E-05	narG, narZ, nxrA; nitrate reductase / nitrite oxidoreductase, alpha subunit [EC:1.7.5.1 1.7.99.-]	0.97679158	0.409072887	0.790661513	0.357391958	0.653742642	0.185119999	0.186130067	-0.887932309	1.260192443
K20934	0	0	1.59E-08	0	0	3.04E-08	K20934; hydrazine synthase subunit [EC:1.7.2.7]	0.000108621	0.000153614	0.000230738	0.000326313	0.666431997	0.185119999	-0.000122117	-0.000959331	0.000715098
K10944	3.87E-07	3.09E-07	2.81E-06	3.35E-07	4.89E-07	1.31E-06	pmoA-amoA; methane/ammonia monooxygenase subunit A [EC:1.14.18.3 1.14.99.39]	0.02392514	0.023568093	0.016415572	0.009886855	0.708716642	0.192848066	0.007509568	-0.054049407	0.069068543
K00264	4.63E-08	1.88E-08	1.17E-07	6.87E-08	1.27E-08	6.12E-08	GLT1; glutamate synthase (NADPH/NADH) [EC:1.4.1.13 1.4.1.14]	0.001253142	0.000838139	0.001093465	0.000562847	0.835451651	0.211051382	0.000159677	-0.001939493	0.002258847
K00265	0.000596173	0.000738825	0.000555845	0.00047687	0.000567916	0.00060022	gltB; glutamate synthase (NADPH/NADH) large chain [EC:1.4.1.13 1.4.1.14]	12.98392474	1.373854738	12.64555662	1.294212911	0.812398884	0.211051382	0.33836812	-3.372358341	4.049094581
K00366	6.59E-07	7.96E-07	2.68E-06	7.61E-07	7.05E-07	1.66E-06	nirA; ferredoxin-nitrite reductase [EC:1.7.7.1]	0.028238035	0.018638367	0.024016533	0.010108099	0.796120326	0.211051382	0.004221502	-0.042775062	0.051218066
K10946	6.37E-07	3.07E-07	3.10E-06	5.27E-07	6.28E-07	1.86E-06	pmoC-amoC; methane/ammonia monooxygenase subunit C	0.02769024	0.02526195	0.023181875	0.013996824	0.838929244	0.211051382	0.004508365	-0.059066432	0.068083161
K01674	3.85E-05	3.28E-05	8.64E-05	5.68E-05	4.85E-05	3.82E-05	cah; carbonic anhydrase [EC:4.2.1.1]	1.082547791	0.484656546	1.101405851	0.168999299	0.96245468	0.237643131	-0.01885806	-1.324038918	1.286322799
K15877	0	0	0	0	0	0	CYP55; fungal nitric oxide reductase [EC:1.7.1.14]	0	0	0	0	1	0.242424242	0	0	0
